Index,19,10,16,Query,Document
0,Relevant,Not Relevant,Relevant,Planninga trip to Argentina,"Hello, from Argentina - Travellerspoint Travel Forums (https://www.travellerspoint.com/forum.cfm?thread=107743&start=1)"
1,Relevant,Relevant,Relevant,Planninga trip to Argentina," S.America itinerary help, starting Oct 15 - Travellerspoint Travel Forums (https://www.travellerspoint.com/forum.cfm?thread=105798&start=1)"
2,Relevant,Relevant,Relevant,Planninga trip to Argentina,Bike from Alaska to Argentina 2018 - Travellerspoint Travel Forums (https://www.travellerspoint.com/forum.cfm?thread=107550&start=1)
3,Not Relevant,Not Relevant,Not Relevant,Planninga trip to Argentina,Tipping - Travellerspoint TravelForums (https://www.travellerspoint.com/forum.cfm?thread=102673&start=1)
4,Relevant,Relevant,Not Relevant,Planninga trip to Argentina,Self Drive from BsAs to Tierra del Fuego - Travellerspoint Travel Forums (https://www.travellerspoint.com/forum.cfm?thread=108786&start=1)
5,Relevant,Relevant,Relevant,Planninga trip to Argentina,Argentina  - Travellerspoint Travel Forums (https://www.travellerspoint.com/forum.cfm?thread=113304&start=1)
6,Relevant,Not Relevant,Relevant,Planninga trip to Argentina,Argentina to Brazil - Travellerspoint Travel Forums (https://www.travellerspoint.com/forum.cfm?thread=111216&start=1)
7,Not Relevant,Relevant,Relevant,Planninga trip to Argentina,Best Route Around South America? - Travellerspoint Travel Forums  (https://www.travellerspoint.com/forum.cfm?thread=105701&start=1)
8,Relevant,Relevant,Relevant,Planninga trip to Argentina,Climbing Argentina November 2015 - Travellerspoint Travel Forums (https://www.travellerspoint.com/forum.cfm?thread=106180&start=1)
9,Relevant,Relevant,Relevant,Planninga trip to Argentina,Argentina- Christmas and New Years  - Travellerspoint Travel Forums (https://www.travellerspoint.com/forum.cfm?thread=105885&start=1)
10,Not Relevant,Not Relevant,Relevant,Rome,First time in Italy- what are some must buys? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/first-time-in-italy-what-are-some-must-buys)
11,Relevant,Relevant,Relevant,Rome,Eating low carb in Rome!... - Rick Steves Travel Forum' (https://community.ricksteves.com/travel-forum/italy/eating-low-carb-in-rome)
12,Not Relevant,Not Relevant,Not Relevant,Rome,Air BNB's - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/general-europe/air-bnb-s)
13,Not Relevant,Not Relevant,Not Relevant,Rome,"Denmark, RS MSV tour and Prague Sept/Oct 2017 - Rick Steves Travel Forum  (https://community.ricksteves.com/travel-forum/trip-reports/denmark-rs-msv-tour-and-prague-sept-oct-2017)"
14,Not Relevant,Not Relevant,Not Relevant,Rome,Meeting Local Strangers While Traveling - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/trip-reports/meeting-local-strangers-while-traveling)
15,Relevant,Not Relevant,Not Relevant,Rome,Overheard in Firenze - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/overheard-in-firenze)
